CountryName,ManufacturerName
Afghanistan,CanSino
Afghanistan,Covaxin
Afghanistan,Johnson&Johnson
Afghanistan,Moderna
Afghanistan,Oxford/AstraZeneca
Afghanistan,Pfizer/BioNTech
Afghanistan,Sinopharm/Beijing
Afghanistan,Sinovac
Afghanistan,Sputnik Light
Afghanistan,Sputnik V
Albania,Oxford/AstraZeneca
Albania,Pfizer/BioNTech
Albania,Sinovac
Albania,Sputnik V
Algeria,Oxford/AstraZeneca
Algeria,Sinopharm/Beijing
Algeria,Sinovac
Algeria,Sputnik V
Andorra,Moderna
Andorra,Oxford/AstraZeneca
Andorra,Pfizer/BioNTech
Angola,Oxford/AstraZeneca
Anguilla,Oxford/AstraZeneca
Anguilla,Pfizer/BioNTech
Antigua and Barbuda,Johnson&Johnson
Antigua and Barbuda,Oxford/AstraZeneca
Antigua and Barbuda,Pfizer/BioNTech
Antigua and Barbuda,Sinopharm/Beijing
Antigua and Barbuda,Sputnik V
Argentina,CanSino
Argentina,Moderna
Argentina,Oxford/AstraZeneca
Argentina,Pfizer/BioNTech
Argentina,Sinopharm/Beijing
Argentina,Sputnik V
Armenia,Johnson&Johnson
Armenia,Moderna
Armenia,Oxford/AstraZeneca
Armenia,Pfizer/BioNTech
Armenia,Sinopharm/Beijing
Armenia,Sinopharm/Wuhan
Armenia,Sinovac
Armenia,Sputnik Light
Armenia,Sputnik V
Aruba,Pfizer/BioNTech
Australia,Johnson&Johnson
Australia,Moderna
Australia,Novavax
Australia,Oxford/AstraZeneca
Australia,Pfizer/BioNTech
Austria,Johnson&Johnson
Austria,Moderna
Austria,Novavax
Austria,Oxford/AstraZeneca
Austria,Pfizer/BioNTech
Austria,Sanofi/GSK
Austria,Valneva
Azerbaijan,Oxford/AstraZeneca
Azerbaijan,Pfizer/BioNTech
Azerbaijan,Sinovac
Azerbaijan,Sputnik V
Bahamas,Johnson&Johnson
Bahamas,Oxford/AstraZeneca
Bahamas,Pfizer/BioNTech
Bahrain,CanSino
Bahrain,Covaxin
Bahrain,Johnson&Johnson
Bahrain,Moderna
Bahrain,Oxford/AstraZeneca
Bahrain,Pfizer/BioNTech
Bahrain,Sinopharm/Beijing
Bahrain,Sinovac
Bahrain,Sputnik Light
Bahrain,Sputnik V
Bangladesh,Johnson&Johnson
Bangladesh,Moderna
Bangladesh,Oxford/AstraZeneca
Bangladesh,Pfizer/BioNTech
