CountryName,Date,AgeRange,SourceName,URL
Afghanistan,2023-12-31,0+,World Health Organization,https://data.who.int/dashboards/covid19/
Albania,2023-09-10,0+,World Health Organization,https://data.who.int/dashboards/covid19/
Algeria,2022-09-04,0+,World Health Organization,https://data.who.int/dashboards/covid19/
Andorra,2023-09-24,0+,World Health Organization,https://data.who.int/dashboards/covid19/
Angola,2023-12-31,0+,World Health Organization,https://data.who.int/dashboards/covid19/
Anguilla,2023-03-17,0+,World Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Antigua and Barbuda,2022-09-16,0+,Ministry of Health,https://covid19.who.int/
Argentina,2024-01-27,0+,Ministry of Health,https://covidstats.com.ar/
Armenia,2023-10-01,0+,World Health Organization,https://data.who.int/dashboards/covid19/
Aruba,2024-03-12,0+,Government of Aruba,https://www.government.aw
Australia,2023-12-31,0+,Government of Australia via CovidBaseAU,https://data.who.int/dashboards/covid19/
Austria,2023-06-30,0+,European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
Azerbaijan,2022-08-28,0+,Government of Azerbaijan,https://koronavirusinfo.az
Bahamas,2023-05-12,0+,Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Bahrain,2022-12-21,0+,Ministry of Health,https://data.who.int/dashboards/covid19/
Bangladesh,2024-07-02,0+,Directorate General of Health Services,http://103.247.238.92/webportal/pages/covid19-vaccination-update.php
Barbados,2023-12-29,0+,Ministry of Health,https://data.who.int/dashboards/covid19/
Belarus,2023-09-03,0+,World Health Organization,https://data.who.int/dashboards/covid19/
Belgium,2024-02-11,0+,Sciensano,https://epistat.wiv-isp.be/covid/
Belize,2023-05-12,0+,World Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Benin,2022-12-18,0+,Ministry of Health,https://data.who.int/dashboards/covid19/
Bermuda,2022-07-08,0+,Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Bhutan,2022-10-30,0+,World Health Organization,https://data.who.int/dashboards/covid19/
Bolivia,2022-10-07,0+,Ministry of Health via https://www.boligrafica.com/,https://github.com/dquintani/vacunacion/
Bonaire Sint Eustatius and Saba,2021-09-01,0+,World Health Organization,https://www.rivm.nl/sites/default/files/2021-09/COVID-19_website_rapport_eilanden_engels_35_20210902_1409.pdf
Bosnia and Herzegovina,2022-01-29,0+,World Health Organization,https://data.who.int/dashboards/covid19/
Botswana,2023-12-31,0+,Africa Centres for Disease Control and Prevention,https://data.who.int/dashboards/covid19/
Brazil,2023-03-22,0+,State governments via coronavirusbra1.github.io,https://coronavirusbra1.github.io
British Virgin Islands,2022-09-16,0+,World Health Organization,https://covid19.who.int/
Brunei,2023-06-30,0+,World Health Organization,https://data.who.int/dashboards/covid19/
Bulgaria,2024-06-29,0+,Ministry of Health,https://coronavirus.bg/bg/statistika
Burkina Faso,2023-07-23,0+,World Health Organization,https://data.who.int/dashboards/covid19/
Burundi,2023-12-31,0+,World Health Organization,https://data.who.int/dashboards/covid19/
Cambodia,2023-12-31,0+,World Health Organization,https://data.who.int/dashboards/covid19/
Cameroon,2023-10-15,0+,World Health Organization,https://data.who.int/dashboards/covid19/
Canada,2024-07-24,0+,Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html
Cape Verde,2022-09-25,0+,World Health Organization,https://data.who.int/dashboards/covid19/
Cayman Islands,2023-12-29,0+,World Health Organization,https://data.who.int/dashboards/covid19/
Central African Republic,2023-09-03,0+,Africa Centres for Disease Control and Prevention,https://data.who.int/dashboards/covid19/
Chad,2023-12-31,0+,Africa Centres for Disease Control and Prevention,https://data.who.int/dashboards/covid19/
Chile,2023-12-29,0+,"Ministry of Health, via Ministry of Science GitHub repository",https://data.who.int/dashboards/covid19/
China,2020-12-15,0+,Government of China,http://www.gov.cn/xinwen/gwylflkjz143/index.htm
China,2020-12-31,0+,Government of China,http://www.gov.cn/xinwen/gwylflkjz143/index.htm
China,2021-01-09,0+,Government of China,http://www.gov.cn/xinwen/gwylflkjz144/index.htm
China,2021-01-13,0+,National Health Commission,http://www.nhc.gov.cn/xcs/s3574/202101/f7958ce31df146d2a2113233d1d08027.shtml
China,2021-01-20,0+,National Health Commission,http://www.nhc.gov.cn/xcs/s3574/202101/ed502e669b6a4b1ab70fb194fc87a1d8.shtml
China,2021-01-26,0+,Government of China,http://www.gov.cn/xinwen/gwylflkjz147/index.htm
China,2021-01-31,0+,National Health Commission,http://www.nhc.gov.cn/xcs/s3574/202101/fde67feab1054b1893fdd5a841541edb.shtml
China,2021-02-03,0+,National Health Commission,http://www.nhc.gov.cn/xcs/s3574/202102/e2d48b7fcb4f4313985c63162ed6fce7.shtml
China,2021-02-09,0+,National Health Commission,http://www.nhc.gov.cn/xcs/s3574/202102/760645bfaff0402bb7bc6edf8eced4b6.shtml
China,2021-02-28,0+,National Health Commission,https://www.chinadaily.com.cn/a/202103/02/WS603dbe06a31024ad0baac25b.html
China,2021-03-14,0+,Government of China,http://www.gov.cn/xinwen/gwylflkjz151/index.htm
China,2021-03-20,0+,National Health Commission,http://www.nhc.gov.cn/xcs/s3574/202103/b3b8103da9104fc58d7ce8f5189e9be2.shtml
China,2021-03-22,0+,Government of China,http://www.gov.cn/xinwen/2021-03/24/content_5595306.htm
China,2021-03-23,0+,National Health Commission,http://www.nhc.gov.cn/jkj/s7915/202103/4e9f38edab0243e6ac433a181906e527.shtml
China,2021-03-24,0+,National Health Commission,http://www.nhc.gov.cn/jkj/s7915/202103/1d85a9ad629a4abcb4165803eb546b7a.shtml
China,2021-03-25,0+,National Health Commission,http://www.nhc.gov.cn/jkj/s7915/202103/0d1b93ae500c418db1955fb6b4ffee70.shtml
China,2021-03-26,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202103/0e5bf66b833a45de8db07e706775ae8e.shtml
China,2021-03-27,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202103/575af2e2a7794f0b9e761e2c0390b69b.shtml
China,2021-03-28,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202103/06db88dae17445fb82a6ba832efe9cf7.shtml
China,2021-03-29,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202103/7289a596c0994109841cb77e2c748a6f.shtml
China,2021-03-30,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202103/3cf9e74a0c2546f7b13f5c206f738fd9.shtml
China,2021-03-31,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202104/fdefb57de14e4837bff46353b872f17b.shtml
China,2021-04-01,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202104/baebb6c1e09344a3a5463247860b4f84.shtml
China,2021-04-02,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202104/2d30c4012929439c9e7cfff8415da13d.shtml
China,2021-04-03,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202104/1a71d84d4f314f6588915fe28c909dbf.shtml
China,2021-04-04,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202104/a2c7143c27bc4e2e9ba0645d582094cd.shtml
China,2021-04-05,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202104/1014615f73854e9c9cf75a10284ea2d9.shtml
China,2021-04-06,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202104/f46fb541aabb4b4c8a79317dd542baa6.shtml
China,2021-04-07,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202104/4bf0af6598ca4a88872a8fae80544407.shtml
China,2021-04-08,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202104/70adf40602524305b66824bece1f298c.shtml
China,2021-04-09,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202104/1a24ec3c6c884cf1ae9d08e026f2b2ec.shtml
China,2021-04-10,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202104/f2bd77de994d4a798645a2316584f870.shtml
China,2021-04-11,0+,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202104/a61f34d7ac7e4692b13b0c8c0663b5f1.shtml
