ManufacturerName,CountryName,Date,TotalVaccinations
Oxford/AstraZeneca,Argentina,2020-12-29,1
Sinopharm/Beijing,Argentina,2020-12-29,1
Sputnik V,Argentina,2020-12-29,20493
Sputnik V,Argentina,2020-12-30,40595
Sputnik V,Argentina,2020-12-31,43401
Oxford/AstraZeneca,Argentina,2021-01-01,3
Sputnik V,Argentina,2021-01-01,43528
Oxford/AstraZeneca,Argentina,2021-01-02,4
Pfizer/BioNTech,Argentina,2021-01-02,1
Sputnik V,Argentina,2021-01-02,46838
Pfizer/BioNTech,Argentina,2021-01-03,3
Sputnik V,Argentina,2021-01-03,47282
Sputnik V,Argentina,2021-01-04,57745
Sinopharm/Beijing,Argentina,2021-01-05,5
Sputnik V,Argentina,2021-01-05,68472
Oxford/AstraZeneca,Argentina,2021-01-06,5
Pfizer/BioNTech,Argentina,2021-01-06,6
Sinopharm/Beijing,Argentina,2021-01-06,8
Sputnik V,Argentina,2021-01-06,78585
Oxford/AstraZeneca,Argentina,2021-01-07,9
Pfizer/BioNTech,Argentina,2021-01-07,8
Sinopharm/Beijing,Argentina,2021-01-07,10
Sputnik V,Argentina,2021-01-07,96811
Oxford/AstraZeneca,Argentina,2021-01-08,10
Sputnik V,Argentina,2021-01-08,124704
Oxford/AstraZeneca,Argentina,2021-01-09,11
Pfizer/BioNTech,Argentina,2021-01-09,9
Sinopharm/Beijing,Argentina,2021-01-09,11
Sputnik V,Argentina,2021-01-09,134912
Pfizer/BioNTech,Argentina,2021-01-10,12
Sinopharm/Beijing,Argentina,2021-01-10,12
Sputnik V,Argentina,2021-01-10,136087
Oxford/AstraZeneca,Argentina,2021-01-11,12
Sinopharm/Beijing,Argentina,2021-01-11,14
Sputnik V,Argentina,2021-01-11,155915
Oxford/AstraZeneca,Argentina,2021-01-12,14
Pfizer/BioNTech,Argentina,2021-01-12,13
Sinopharm/Beijing,Argentina,2021-01-12,17
Sputnik V,Argentina,2021-01-12,175306
Moderna,Argentina,2021-01-13,1
Oxford/AstraZeneca,Argentina,2021-01-13,15
Sinopharm/Beijing,Argentina,2021-01-13,21
Sputnik V,Argentina,2021-01-13,192078
Pfizer/BioNTech,Argentina,2021-01-14,14
Sinopharm/Beijing,Argentina,2021-01-14,22
Sputnik V,Argentina,2021-01-14,208726
Sputnik V,Argentina,2021-01-15,226173
Sputnik V,Argentina,2021-01-16,232058
Pfizer/BioNTech,Argentina,2021-01-17,15
Sputnik V,Argentina,2021-01-17,233121
Pfizer/BioNTech,Argentina,2021-01-18,16
Sputnik V,Argentina,2021-01-18,242954
CanSino,Argentina,2021-01-19,1
Sinopharm/Beijing,Argentina,2021-01-19,24
Sputnik V,Argentina,2021-01-19,256208
Sputnik V,Argentina,2021-01-20,275642
Oxford/AstraZeneca,Argentina,2021-01-21,20
Sinopharm/Beijing,Argentina,2021-01-21,26
Sputnik V,Argentina,2021-01-21,289756
Oxford/AstraZeneca,Argentina,2021-01-22,23
Sinopharm/Beijing,Argentina,2021-01-22,27
Sputnik V,Argentina,2021-01-22,298976
Oxford/AstraZeneca,Argentina,2021-01-23,28
Sputnik V,Argentina,2021-01-23,302921
Oxford/AstraZeneca,Argentina,2021-01-24,29
Sputnik V,Argentina,2021-01-24,303224
Oxford/AstraZeneca,Argentina,2021-01-25,37
Sputnik V,Argentina,2021-01-25,317436
Oxford/AstraZeneca,Argentina,2021-01-26,75
Sinopharm/Beijing,Argentina,2021-01-26,28
Sputnik V,Argentina,2021-01-26,330214
Oxford/AstraZeneca,Argentina,2021-01-27,77
Sputnik V,Argentina,2021-01-27,340327
Oxford/AstraZeneca,Argentina,2021-01-28,78
Sputnik V,Argentina,2021-01-28,356376
Oxford/AstraZeneca,Argentina,2021-01-29,79
Sputnik V,Argentina,2021-01-29,379880
Sputnik V,Argentina,2021-01-30,389196
CanSino,Argentina,2021-01-31,2
Sinopharm/Beijing,Argentina,2021-01-31,29
Sputnik V,Argentina,2021-01-31,389819
Oxford/AstraZeneca,Argentina,2021-02-01,98
Sinopharm/Beijing,Argentina,2021-02-01,30
Sputnik V,Argentina,2021-02-01,409335
Oxford/AstraZeneca,Argentina,2021-02-02,131
Sputnik V,Argentina,2021-02-02,433186
Oxford/AstraZeneca,Argentina,2021-02-03,139
Sinopharm/Beijing,Argentina,2021-02-03,33
Sputnik V,Argentina,2021-02-03,459800
Moderna,Argentina,2021-02-04,2
Oxford/AstraZeneca,Argentina,2021-02-04,144
Sinopharm/Beijing,Argentina,2021-02-04,56
Sputnik V,Argentina,2021-02-04,487914
CanSino,Argentina,2021-02-05,4
Oxford/AstraZeneca,Argentina,2021-02-05,149
Sinopharm/Beijing,Argentina,2021-02-05,63
Sputnik V,Argentina,2021-02-05,520948
Sinopharm/Beijing,Argentina,2021-02-06,68
Sputnik V,Argentina,2021-02-06,531875
Oxford/AstraZeneca,Argentina,2021-02-07,150
