Country Name,Month,Year,Growth rate of vaccine,Difference of growth rate to global average
Afghanistan,03,2021,2.266018559434379,-1.5811533916008207
Afghanistan,04,2021,2.604620822164765,-1.242551128870435
Afghanistan,05,2021,1.2240040766164084,-2.623167874418791
Afghanistan,06,2021,0.8932836122787469,-2.953888338756453
Afghanistan,07,2021,1.3119752231395956,-2.5351967278956042
Afghanistan,08,2021,1.8254935225169648,-2.0216784285182348
Afghanistan,09,2021,0.9535284896378232,-2.8936434613973767
Afghanistan,10,2021,1.836991120212687,-2.010180830822513
Afghanistan,11,2021,0.7833023814361108,-3.063869569599089
Afghanistan,12,2021,0.5696479763962711,-3.2775239746389286
Afghanistan,01,2022,0.835916096785662,-3.011255854249538
Afghanistan,02,2022,1.1261763245698944,-2.7209956264653057
Afghanistan,03,2022,0.6953753222703168,-3.151796628764883
Afghanistan,04,2022,0.6159827567390592,-3.2311891942961406
Afghanistan,05,2022,0.8686094595986147,-2.978562491436585
Afghanistan,06,2022,1.6847537618386805,-2.1624181891965195
Afghanistan,07,2022,6.781577001091072,2.934405050055872
Afghanistan,08,2022,1.650774810116527,-2.196397140918673
Afghanistan,09,2022,0.11840551900233419,-3.7287664320328657
Afghanistan,10,2022,0.5434945542107193,-3.3036773968244804
Afghanistan,11,2022,0.98544479846255,-2.8617271525726498
Afghanistan,12,2022,1.034348960947696,-2.812822990087504
Afghanistan,01,2023,0.9887715972668849,-2.8584003537683147
Afghanistan,02,2023,9.102881210015413,5.255709258980213
Afghanistan,03,2023,1.043815658968079,-2.8033562920671207
Afghanistan,04,2023,0.1921456073783362,-3.6550263436568637
Afghanistan,05,2023,3.9943424729758155,0.14717052194061564
Afghanistan,06,2023,1.4184077468922758,-2.428764204142924
Afghanistan,07,2023,0.15049918203292342,-3.6966727690022765
Afghanistan,08,2023,1.4010813175823489,-2.446090633452851
Afghanistan,09,2023,1.2994614980399086,-2.5477104529952914
Afghanistan,10,2023,0.6660549877077184,-3.181116963327481
Afghanistan,11,2023,1.426774344683398,-2.420397606351802
Afghanistan,12,2023,0.5896289948489619,-3.2575429561862377
Albania,02,2021,9.161364950838635,5.314192999803435
Albania,03,2021,7.424657534246576,3.577485583211376
Albania,04,2021,4.373982376240178,0.5268104252049786
Albania,05,2021,0.9449617813792751,-2.9022101696559246
Albania,06,2021,0.5651059835745014,-3.2820659674606985
Albania,07,2021,1.2134122015181417,-2.633759749517058
Albania,08,2021,1.164893663288827,-2.6822782877463727
Albania,09,2021,1.0793602313497463,-2.7678117196854535
Albania,10,2021,0.6222019441416277,-3.2249700068935723
Albania,11,2021,1.1433073633647706,-2.703864587670429
Albania,12,2021,1.127151108849849,-2.7200208421853507
Albania,01,2022,0.8920965263920038,-2.955075424643196
Albania,02,2022,0.9957873765985152,-2.8513845744366844
Albania,03,2022,0.32243273508671044,-3.5247392159484896
Albania,04,2022,0.9081973111772595,-2.9389746398579404
Albania,05,2022,0.9706193157210914,-2.876552635314108
Albania,06,2022,0.6370256162576858,-3.210146334777514
Albania,07,2022,0.8744470908472269,-2.9727248601879728
Albania,08,2022,0.7585938007667815,-3.088578150268418
Albania,09,2022,0.8156897704479608,-3.031482180587239
Albania,10,2022,1.0811053577089718,-2.766066593326228
Albania,11,2022,0.8877741366271742,-2.9593978144080255
Albania,12,2022,1.0174857962380717,-2.829686154797128
Albania,01,2023,0.9695121951219512,-2.877659755913249
Albania,02,2023,0.6108220603537982,-3.2363498906814017
Albania,03,2023,0.7767548906789413,-3.0704170603562586
Albania,04,2023,0.6552293361631883,-3.1919426148720116
Albania,05,2023,0.684811237928007,-3.162360713107193
Albania,06,2023,0.8851674641148325,-2.9620044869203674
Albania,07,2023,0.6931124673060157,-3.154059483729184
Albania,08,2023,0.3104048759251197,-3.53676707511008
Albania,09,2023,1.0,-2.8471719510352
