Vaccine Type,Country,Percentage of vaccine type
CanSino,Argentina,0.8455116302932228
Moderna,Argentina,15.997960856420812
Oxford/AstraZeneca,Argentina,22.89513303044753
Pfizer/BioNTech,Argentina,17.708634733037872
Sinopharm/Beijing,Argentina,24.778945529666938
Sputnik Light,Argentina,0.027959833754437707
Sputnik V,Argentina,17.74585438637919
Johnson&Johnson,Austria,1.8013769577187877
Moderna,Austria,8.143710332891866
Novavax,Austria,0.07367412000655359
Oxford/AstraZeneca,Austria,7.787534845273106
Pfizer/BioNTech,Austria,82.18095630796711
Sanofi/GSK,Austria,0.0017156250329927892
Valneva,Austria,0.011031811109586112
Johnson&Johnson,Belgium,1.4473149802315344
Moderna,Belgium,14.820887879067508
Novavax,Belgium,0.008636896789319717
Oxford/AstraZeneca,Belgium,9.620432696374012
Pfizer/BioNTech,Belgium,74.10272754753763
Johnson&Johnson,Bulgaria,11.518564901672926
Moderna,Bulgaria,11.089167755772332
Oxford/AstraZeneca,Bulgaria,10.365029809800347
Pfizer/BioNTech,Bulgaria,67.0272375327544
Johnson&Johnson,Canada,0.024792146004521984
Medicago,Canada,0.0009069400195796055
Moderna,Canada,30.271182947720057
Novavax,Canada,0.029880678536160974
Oxford/AstraZeneca,Canada,2.958850302718818
Pfizer/BioNTech,Canada,66.71438698500086
CanSino,Chile,0.0
Moderna,Chile,0.0
Oxford/AstraZeneca,Chile,1.5904525567585373
Pfizer/BioNTech,Chile,23.34357383939581
Sinovac,Chile,75.06597360384565
Johnson&Johnson,Croatia,3.796478716192766
Moderna,Croatia,9.737195969346237
Novavax,Croatia,0.025402038956685094
Oxford/AstraZeneca,Croatia,10.497927961589754
Pfizer/BioNTech,Croatia,75.94299531391455
Johnson&Johnson,Cyprus,1.7297972697199728
Moderna,Cyprus,11.120793481716746
Novavax,Cyprus,0.050168909419226665
Oxford/AstraZeneca,Cyprus,14.172633388884774
Pfizer/BioNTech,Cyprus,72.92660695025928
Covaxin,Czechia,5.250140861279308e-05
Johnson&Johnson,Czechia,2.1793019706718733
Moderna,Czechia,8.629147270021255
Novavax,Czechia,0.06166290441572547
Oxford/AstraZeneca,Czechia,4.660975303967406
Pfizer/BioNTech,Czechia,84.46628223035223
Sinopharm/Beijing,Czechia,0.00048301295923769633
Sinovac,Czechia,0.0019530524003959027
Sputnik V,Czechia,0.00012075323980942408
Valneva,Czechia,2.1000563445117232e-05
Johnson&Johnson,Denmark,0.3217042997412357
Moderna,Denmark,12.52880082237425
Oxford/AstraZeneca,Denmark,1.1029314806281239
Pfizer/BioNTech,Denmark,86.04656339725639
CanSino,Ecuador,1.7948920853905161
Oxford/AstraZeneca,Ecuador,16.74652348771427
Pfizer/BioNTech,Ecuador,28.59312818456509
Sinovac,Ecuador,52.865456242330126
Johnson&Johnson,Estonia,3.5936682965522535
Moderna,Estonia,11.11473543472424
Novavax,Estonia,0.09844733067808722
Oxford/AstraZeneca,Estonia,10.817894244760872
Pfizer/BioNTech,Estonia,74.37525469328455
Johnson&Johnson,Finland,0.0
Moderna,Finland,16.021083097630036
Novavax,Finland,0.0
Oxford/AstraZeneca,Finland,4.290308594078572
Pfizer/BioNTech,Finland,79.68860830829139
Valneva,Finland,0.0
Johnson&Johnson,France,0.7062366071023445
Moderna,France,15.621001241568678
Novavax,France,0.025858732250504692
Oxford/AstraZeneca,France,5.089579762007232
Pfizer/BioNTech,France,78.5542031327113
Sanofi/GSK,France,0.0031205243599420054
