Country Name,Month,Source Name (URL,Total Administered Vaccines
China,01/2021,http://www.gov.cn/xinwen/gwylflkjz144/index.htm,4500000
China,01/2021,http://www.gov.cn/xinwen/gwylflkjz147/index.htm,18267000
China,01/2021,http://www.nhc.gov.cn/xcs/s3574/202101/ed502e669b6a4b1ab70fb194fc87a1d8.shtml,10500000
China,01/2021,http://www.nhc.gov.cn/xcs/s3574/202101/f7958ce31df146d2a2113233d1d08027.shtml,5500000
China,01/2021,http://www.nhc.gov.cn/xcs/s3574/202101/fde67feab1054b1893fdd5a841541edb.shtml,19500000
United States,01/2021,https://data.cdc.gov/Vaccinations/COVID-19-Vaccination-Trends-in-the-United-States-N/rh2h-3yt2,32212122
China,02/2021,http://www.nhc.gov.cn/xcs/s3574/202102/760645bfaff0402bb7bc6edf8eced4b6.shtml,17753000
China,02/2021,http://www.nhc.gov.cn/xcs/s3574/202102/e2d48b7fcb4f4313985c63162ed6fce7.shtml,8469000
China,02/2021,https://www.chinadaily.com.cn/a/202103/02/WS603dbe06a31024ad0baac25b.html,29753000
India,02/2021,https://pib.gov.in/PressReleseDetailm.aspx?PRID=1697804,4552427
India,02/2021,https://pib.gov.in/PressReleseDetailm.aspx?PRID=1698251,5016744
India,02/2021,https://pib.gov.in/PressReleseDetailm.aspx?PRID=1698525,5357314
India,02/2021,https://pib.gov.in/PressReleseDetailm.aspx?PRID=1698832,5686730
India,02/2021,https://pib.gov.in/PressReleseDetailm.aspx?PRID=1699157,6346496
India,02/2021,https://pib.gov.in/PressReleseDetailm.aspx?PRID=1699476,6949915
India,02/2021,https://pib.gov.in/PressReleseDetailm.aspx?PRID=1699698,7338296
India,02/2021,https://pib.gov.in/PressReleseDetailm.aspx?PRID=1699735,7585146
India,02/2021,https://pib.gov.in/PressReleseDetailm.aspx?PRID=1700035,7924067
India,02/2021,https://pib.gov.in/PressReleseDetailm.aspx?PRID=1700269,8407365
India,02/2021,https://pib.gov.in/PressReleseDetailm.aspx?PRID=1700553,8866606
India,02/2021,https://pib.gov.in/PressReleseDetailm.aspx?PRID=1700888,9567020
India,02/2021,https://pib.gov.in/PressReleseDetailm.aspx?PRID=1701203,10256913
India,02/2021,https://pib.gov.in/PressReleseDetailm.aspx?PRID=1701292,10742520
India,02/2021,https://www.mohfw.gov.in/,4467620
India,02/2021,https://www.mohfw.gov.in/pdf/CumulativeCovidVaccinationCoverageReportDay43ason28thFebat7am.pdf,10801239
United States,02/2021,https://data.cdc.gov/Vaccinations/COVID-19-Vaccination-Trends-in-the-United-States-N/rh2h-3yt2,51652317
China,03/2021,http://www.gov.cn/xinwen/2021-03/24/content_5595306.htm,27943000
China,03/2021,http://www.gov.cn/xinwen/gwylflkjz151/index.htm,12460000
China,03/2021,http://www.nhc.gov.cn/jkj/s7915/202103/0d1b93ae500c418db1955fb6b4ffee70.shtml,38826000
China,03/2021,http://www.nhc.gov.cn/jkj/s7915/202103/1d85a9ad629a4abcb4165803eb546b7a.shtml,33339700
China,03/2021,http://www.nhc.gov.cn/jkj/s7915/202103/4e9f38edab0243e6ac433a181906e527.shtml,30326000
China,03/2021,http://www.nhc.gov.cn/xcs/s3574/202103/b3b8103da9104fc58d7ce8f5189e9be2.shtml,22436000
China,03/2021,http://www.nhc.gov.cn/xcs/yqjzqk/202103/06db88dae17445fb82a6ba832efe9cf7.shtml,54093000
