Dates,United States,China,Ireland,India
2022-01-01,17847,,106,3869210
2022-01-02,91704,,631,1826897
2022-01-03,200389,,733,3034271
2022-01-04,216928,,796,2586550
2022-01-05,216178,,920,3195789
2022-01-06,216124,,1703,3164770
2022-01-07,250179,2878000,790,5064540
2022-01-08,177898,,750,1109853
2022-01-09,76478,,667,4424499
2022-01-10,193612,,517,2764059
2022-01-11,204184,,1377,5852587
2022-01-12,204066,,933,2952709
2022-01-13,191844,,820,4516193
2022-01-14,177308,,844,1291354
2022-01-15,88356,,659,4635942
2022-01-16,58529,,1218,2497849
2022-01-17,141931,,565,2602607
2022-01-18,191442,,461,151381
2022-01-19,189588,,628,8786162
2022-01-20,179487,,943,4301942
2022-01-21,164601,,978,5187087
2022-01-22,84466,,646,4327043
2022-01-23,64957,,681,3068585
2022-01-24,162494,,472,665489
2022-01-25,177836,,1840,4031533
2022-01-26,181760,,900,3511701
2022-01-27,177967,,1180,1764697
2022-01-28,213788,,3099,3705100
2022-01-29,113984,,3449,3147301
2022-01-30,68089,,7540,4142961
2022-01-31,160838,,1399,4520965
2022-02-01,162596,,3427,4147221
2022-02-02,156858,,3005,3898401
2022-02-03,142142,,2440,3048516
2022-02-04,186966,,6527,3747771
2022-02-05,135142,,5752,4107260
2022-02-06,62002,,7556,1656884
2022-02-07,134301,,1354,94602
2022-02-08,147656,,1239,5590384
2022-02-09,147565,,1785,4357712
2022-02-10,142127,,2557,286023
2022-02-11,176543,,4927,7027606
2022-02-12,103879,,5466,2296339
2022-02-13,47107,,4707,3296041
2022-02-14,99285,,954,1265024
2022-02-15,117145,,821,4783868
2022-02-16,118764,,1787,1943503
2022-02-17,111617,,1199,4033882
2022-02-18,144842,,3297,3118557
2022-02-19,79317,,3557,2753963
2022-02-20,42608,,3588,1521517
2022-02-21,88947,,998,1906931
2022-02-22,100247,,989,3007739
2022-02-23,94392,,1277,1745004
2022-02-24,86776,,1237,2660873
2022-02-25,106769,,1229,2950562
2022-02-26,65273,,2094,3041361
2022-02-27,32210,,1783,1158648
2022-02-28,82017,,437,1183615
2022-03-01,74480,,940,1247480
2022-03-02,72277,,1000,1308588
2022-03-03,70052,,1278,2665847
2022-03-04,89650,,1510,2218934
2022-03-05,52512,,3343,2307746
2022-03-06,24957,,1917,836237
2022-03-07,55716,,126,1217322
2022-03-08,59159,,495,1869928
2022-03-09,59945,,345,1658279
2022-03-10,60273,,509,1623536
2022-03-11,74688,,2184,2351706
2022-03-12,41587,,2395,996023
2022-03-13,21099,,1082,1122674
2022-03-14,52056,,125,1520782
2022-03-15,53361,,758,1404666
2022-03-16,53214,,799,1563837
2022-03-17,48990,,3,1197229
2022-03-18,62483,136000,7,657226
2022-03-19,37278,,2781,644504
2022-03-20,18029,,1402,522495
2022-03-21,45500,,112,1006033
2022-03-22,44487,,577,916264
2022-03-23,47111,,221,1377012
2022-03-24,43750,,245,1276098
2022-03-25,55894,,1625,697868
2022-03-26,30616,,1849,1596120
2022-03-27,15144,,,523876
2022-03-28,38837,,,726314
2022-03-29,40466,,139,618577
